team_identifier,sequence_number,location_code,riddle,,,
TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?,,,
TeamAlpha,2,LOC2,I have keys but no locks. What am I?,,,
TeamAlpha,3,LOC3,What has a heart that doesn't beat?,,,
TeamAlpha,4,LOC4,I speak without a mouth and hear without ears. What am I?,,,
TeamAlpha,5,LOC5,I have keys but no locks. What am I?,,,
TeamAlpha,6,LOC6,What has a heart that doesn't beat?TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?
TeamAlpha,7,LOC7,I have keys but no locks. What am I?,,,
TeamAlpha,8,LOC8,What has a heart that doesn't beat?TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?
TeamAlpha,9,LOC9,I have keys but no locks. What am I?,,,
TeamAlpha,10,LOC10,What has a heart that doesn't beat?TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?
TeamAlpha,11,LOC11,I have keys but no locks. What am I?,,,
TeamAlpha,12,LOC12,What has a heart that doesn't beat?TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?
TeamAlpha,13,LOC13,I have keys but no locks. What am I?,,,
TeamAlpha,14,LOC14,What has a heart that doesn't beat?TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?
TeamAlpha,15,LOC15,I have keys but no locks. What am I?,,,
TeamAlpha,16,LOC16,What has a heart that doesn't beat?TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?
TeamAlpha,17,LOC17,I have keys but no locks. What am I?,,,
TeamAlpha,18,LOC18,What has a heart that doesn't beat?TeamAlpha,1,LOC1,I speak without a mouth and hear without ears. What am I?
TeamAlpha,19,LOC19,I have keys but no locks. What am I?,,,
TeamBeta,1,LOC1,I speak without a mouth and hear without ears. What am I?,,,
TeamBeta,2,LOC2,I have keys but no locks. What am I?,,,
TeamBeta,3,LOC3,What has a heart that doesn't beat?,,,
Team3,1,LOC1,I speak without a mouth and hear without ears. What am I?,,,
Team3,2,LOC2,I have keys but no locks. What am I?,,,
Team3,3,LOC3,What has a heart that doesn't beat?,,,
